Year,Real ounce closing price USD,Nominal ounce closing price USD
1791,1.29,1.29
1792,1.28,1.28
1793,1.29,1.29
1794,1.26,1.26
1795,1.25,1.25
1796,1.24,1.24
1797,1.26,1.26
1798,1.24,1.24
1799,1.23,1.23
1800,1.24,1.24
1801,1.25,1.25
1802,1.27,1.27
1803,1.26,1.26
1804,1.26,1.26
1805,1.23,1.23
1806,1.25,1.25
1807,1.26,1.26
1808,1.21,1.21
1809,1.21,1.21
1810,1.23,1.23
1811,1.25,1.25
1812,1.2,1.2
1813,1.19,1.19
1814,1.34,1.34
1815,1.42,1.42
1816,1.37,1.37
1817,1.29,1.29
1818,1.26,1.26
1819,1.26,1.26
1820,1.24,1.24
1821,1.22,1.22
1822,1.23,1.23
1823,1.22,1.22
1824,1.23,1.23
1825,1.24,1.24
1826,1.23,1.23
1827,1.23,1.23
1828,1.23,1.23
1829,1.23,1.23
1830,1.23,1.23
1831,1.23,1.23
1832,1.23,1.23
1833,1.22,1.22
1834,1.27,1.27
1835,1.31,1.31
1836,1.32,1.32
1837,1.37,1.37
1838,1.32,1.32
1839,1.32,1.32
1840,1.32,1.32
1841,1.32,1.32
1842,1.3,1.3
1843,1.3,1.3
1844,1.3,1.3
1845,1.3,1.3
1846,1.3,1.3
1847,1.31,1.31
1848,1.3,1.3
1849,1.31,1.31
1850,1.32,1.32
1851,1.34,1.34
1852,1.33,1.33
1853,1.35,1.35
1854,1.35,1.35
1855,1.34,1.34
1856,1.34,1.34
1857,1.36,1.36
1858,1.34,1.34
1859,1.36,1.36
1860,1.35,1.35
1861,1.33,1.33
1862,1.53,1.53
1863,1.95,1.95
1864,2.73,2.73
1865,2.11,2.11
1866,1.89,1.89
1867,1.83,1.83
1868,1.85,1.85
1869,1.76,1.76
1870,1.53,1.53
1871,1.48,1.48
1872,1.49,1.49
1873,1.48,1.48
1874,1.42,1.42
1875,1.43,1.43
1876,1.3,1.3
1877,1.26,1.26
1878,1.16,1.16
1879,1.12,1.12
1880,1.15,1.15
1881,1.13,1.13
1882,1.14,1.14
1883,1.11,1.11
1884,1.11,1.11
1885,1.06,1.06
1886,0.99,0.99
1887,0.98,0.98
1888,0.94,0.94
1889,0.94,0.94
1890,1.05,1.05
1891,0.99,0.99
1892,0.87,0.87
1893,0.78,0.78
1894,0.63,0.63
1895,0.65,0.65
1896,0.68,0.68
1897,0.6,0.6
1898,0.59,0.59
1899,0.6,0.6
1900,0.62,0.62
1901,0.6,0.6
1902,0.53,0.53
1903,0.54,0.54
1904,0.58,0.58
1905,0.61,0.61
1906,0.68,0.68
1907,0.66,0.66
1908,0.53,0.53
1909,0.52,0.52
1910,0.54,0.54
1911,0.54,0.54
1912,0.61,0.61
1913,15,0.6
1914,13.75,0.55
1915,12.75,0.51
1916,13.87163561,0.67
1917,15.27272727,0.84
1918,15.26479751,0.98
1919,15.09433962,1.12
1920,11.88811189,1.02
1921,8.213820078,0.63
1922,9.714285714,0.68
1923,9.285714286,0.65
1924,9.571428571,0.67
1925,9.2,0.69
1926,8,0.62
